Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
11,62486,P 1 21/m 1,Mo2 S3,Mo2,Mo,2,6,5,S3,S,3,16,3,Monoclinic,,
11,62231,P 1 21/m 1,Pr2 Br5,Pr2,Pr,2,3,6,Br5,Br,5,17,4,Monoclinic,,
11,40695,P 1 21/m 1,U Te3,U,U,1,3,7,Te3,Te,3,16,5,Monoclinic,,
11,65480,P 1 21/m 1,La2 Br5,La2,La,2,3,6,Br5,Br,5,17,4,Monoclinic,,
11,67502,P 1 21/m 1,Y2 S3,Y2,Y,2,3,5,S3,S,3,16,3,Monoclinic,,
11,71033,P 1 21/m 1,Zr Te3,Zr,Zr,1,4,5,Te3,Te,3,16,5,Monoclinic,,
11,71100,P 1 21/m 1,Yb2 S3,Yb2,Yb,2,3,6,S3,S,3,16,3,Monoclinic,,
11,72292,P 1 21/m 1,Er2 S3,Er2,Er,2,3,6,S3,S,3,16,3,Monoclinic,,
11,72803,P 1 21/m 1,Pr2 I5,Pr2,Pr,2,3,6,I5,I,5,17,5,Monoclinic,,
11,80577,P 1 21/m 1,Mo O3,Mo,Mo,1,6,5,O3,O,3,16,2,Monoclinic,,
11,83713,P 1 21/m 1,U Se3,U,U,1,3,7,Se3,Se,3,16,4,Monoclinic,,
11,402085,P 1 21/m 1,In6 Se7,In6,In,6,13,5,Se7,Se,7,16,4,Monoclinic,,
11,409179,P 1 21/m 1,Yb P5,Yb,Yb,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409181,P 1 21/m 1,Ce P5,Ce,Ce,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409182,P 1 21/m 1,Pr P5,Pr,Pr,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409183,P 1 21/m 1,Sm P5,Sm,Sm,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409184,P 1 21/m 1,Dy P5,Dy,Dy,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409185,P 1 21/m 1,Ho P5,Ho,Ho,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409186,P 1 21/m 1,Tm P5,Tm,Tm,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409187,P 1 21/m 1,Lu P5,Lu,Lu,1,3,6,P5,P,5,15,3,Monoclinic,,
11,409188,P 1 21/m 1,Y P5,Y,Y,1,3,5,P5,P,5,15,3,Monoclinic,,
11,410596,P 1 21/m 1,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Monoclinic,,
11,42072,P 1 21/m 1,Ti S3,Ti,Ti,1,4,4,S3,S,3,16,3,Monoclinic,,
11,42073,P 1 21/m 1,Zr S3,Zr,Zr,1,4,5,S3,S,3,16,3,Monoclinic,,
11,42074,P 1 21/m 1,Hf S3,Hf,Hf,1,4,6,S3,S,3,16,3,Monoclinic,,
11,42075,P 1 21/m 1,Hf Se3,Hf,Hf,1,4,6,Se3,Se,3,16,4,Monoclinic,,
11,42981,P 1 21/m 1,Nb2 Se3,Nb2,Nb,2,5,5,Se3,Se,3,16,4,Monoclinic,,
11,42982,P 1 21/m 1,Ta2 Se3,Ta2,Ta,2,5,6,Se3,Se,3,16,4,Monoclinic,,
11,43213,P 1 21/m 1,Ta Se3,Ta,Ta,1,5,6,Se3,Se,3,16,4,Monoclinic,,
11,43283,P 1 21/m 1,Pt6 Si5,Pt6,Pt,6,10,6,Si5,Si,5,14,3,Monoclinic,,
11,87492,P 1 21/m 1,Dy S1.836,Dy,Dy,1,3,6,S1.836,S,1.836,16,3,Monoclinic,,
11,39782,C 1 1 21/m,Dy S1.76,Dy,Dy,1,3,6,S1.76,S,1.76,16,3,Monoclinic,,
11,409517,P 1 21/m 1,Ba Sb2,Ba,Ba,1,2,6,Sb2,Sb,2,15,5,Monoclinic,,
11,56426,P 1 21/m 1,Eu5 Cl11,Eu5,Eu,5,3,6,Cl11,Cl,11,17,3,Monoclinic,,
11,56541,P 1 21/m 1,Ag Cl,Ag,Ag,1,11,5,Cl,Cl,1,17,3,Monoclinic,,
11,56549,P 1 21/m 1,Ag Br,Ag,Ag,1,11,5,Br,Br,1,17,4,Monoclinic,,
11,56557,P 1 21/m 1,Ag I,Ag,Ag,1,11,5,I,I,1,17,5,Monoclinic,,
11,56783,P 1 21/m 1,Dy5 Cl11,Dy5,Dy,5,3,6,Cl11,Cl,11,17,3,Monoclinic,,
11,52307,P 1 21/m 1,Sr Sb2,Sr,Sr,1,2,5,Sb2,Sb,2,15,5,Monoclinic,,
11,93359,P 1 21/m 1,Ho S1.863,Ho,Ho,1,3,6,S1.863,S,1.863,16,3,Monoclinic,,
11,240029,P 1 21/m 1,K4 Pb9,K4,K,4,1,4,Pb9,Pb,9,14,6,Monoclinic,,
11,411891,P 1 21/m 1,Pb9 Rb4,Pb9,Pb,9,14,6,Rb4,Rb,4,1,5,Monoclinic,,
11,409702,P 1 21/m 1,La2 I5,La2,La,2,3,6,I5,I,5,17,5,Monoclinic,,
11,412685,P 1 21/m 1,Ho2 Sb5,Ho2,Ho,2,3,6,Sb5,Sb,5,15,5,Monoclinic,,
11,58594,P 1 21/m 1,Au Sr,Au,Au,1,11,6,Sr,Sr,1,2,5,Monoclinic,,
11,58880,P 1 21/m 1,Ca Cu,Ca,Ca,1,2,4,Cu,Cu,1,11,4,Monoclinic,,
11,15251,P 1 21/m 1,Ta S3,Ta,Ta,1,5,6,S3,S,3,16,3,Monoclinic,,
