Struct.formula,Struct.formula,,族1,族2,元素1数,元素2数,Table No.
Rh3 Te8,Rh3,Te8,9,16,3,8,148
W Cl6,W,Cl6,6,17,1,6,148
Zr6 I12,Zr6,I12,4,17,6,12,148
Fe O,Fe,O,8,16,1,1,148
Ni F3,Ni,F3,10,17,1,3,148
Pt4 Yb3,Pt4,Yb3,10,3,4,3,148
Ce3 Pt2,Ce3,Pt2,3,10,3,2,148
Gd3 Pt4,Gd3,Pt4,3,10,3,4,148
Mn44.1 Si8.9,Mn44.1,Si8.9,7,14,44.1,8.9,148
Pd4 Pu3,Pd4,Pu3,10,3,4,3,148
Sr3 Pt2,Sr3,Pt2,2,10,3,2,148
Ca3 Au4,Ca3,Au4,2,11,3,4,148
Nb0.77 N0.357,Nb0.77,N0.357,5,15,0.77,0.357,162
Zr Cl3,Zr,Cl3,4,17,1,3,162
Cr2 N0.91,Cr2,N0.91,6,15,2,0.91,162
Si2 Te3,Si2,Te3,14,16,2,3,163
Mg3 Sb2,Mg3,Sb2,2,15,3,2,164
Sb2 Te2,Sb2,Te2,15,16,2,2,164
V1.005 Se2,V1.005,Se2,5,16,1.005,2,164
Bi Te,Bi,Te,15,16,1,1,164
Pt S2,Pt,S2,10,16,1,2,164
V S2,V,S2,5,16,1,2,164
Eu Ge2,Eu,Ge2,3,14,1,2,164
Nb Se2,Nb,Se2,5,16,1,2,164
Nb3 Cl8,Nb3,Cl8,5,17,3,8,164
Yb I2,Yb,I2,3,17,1,2,164
Cd2 Gd,Cd2,Gd,12,3,2,1,164
Hg2 Nd,Hg2,Nd,12,3,2,1,164
Hf Se2,Hf,Se2,4,16,1,2,164
Ce Cd2,Ce,Cd2,3,12,1,2,164
Tb Cd2,Tb,Cd2,3,12,1,2,164
Ho Hg2,Ho,Hg2,3,12,1,2,164
Nb Te2,Nb,Te2,5,16,1,2,164
In3 Pd2,In3,Pd2,13,10,3,2,164
Ir Te2,Ir,Te2,9,16,1,2,164
U Pt3,U,Pt3,3,10,1,3,164
V1.1 S2,V1.1,S2,5,16,1.1,2,164
La F3,La,F3,3,17,1,3,165
Ni5 P2,Ni5,P2,10,15,5,2,165
Sm D3,Sm,D3,3,1,1,3,165
Pr F3,Pr,F3,3,17,1,3,165
Er H3,Er,H3,3,1,1,3,165
Sc Cl,Sc,Cl,3,17,1,1,166
Th3 N4,Th3,N4,3,15,3,4,166
Sb2 Te3,Sb2,Te3,15,16,2,3,166
Ni Br2,Ni,Br2,10,17,1,2,166
Sc2 Te3,Sc2,Te3,3,16,2,3,166
Zn Br2,Zn,Br2,12,17,1,2,166
B4 C,B4,C,13,14,4,1,166
Y Cl,Y,Cl,3,17,1,1,166
Zn B25.65,Zn,B25.65,12,13,1,25.65,166
Mn Br2,Mn,Br2,7,17,1,2,166
B6 O0.839,B6,O0.839,13,16,6,0.839,166
Ti8.2 S11,Ti8.2,S11,4,16,8.2,11,166
As Sb,As,Sb,15,15,1,1,166
Ho2 C,Ho2,C,3,14,2,1,166
Co O3,Co,O3,9,16,1,3,166
Be3 Nb,Be3,Nb,2,5,3,1,166
