Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
180,30713,P 62 2 2,Mg2 Ni,Mg2,Mg,2,2,3,Ni,Ni,1,10,4,Hexagonal,,
180,74641,P 62 2 2,Cs C8,Cs,Cs,1,1,6,C8,C,8,14,2,Hexagonal,,
180,43596,P 62 2 2,Ta Si2,Ta,Ta,1,5,6,Si2,Si,2,14,3,Hexagonal,,
180,77114,P 62 2 2,Mo Sn2,Mo,Mo,1,6,5,Sn2,Sn,2,14,5,Hexagonal,,
180,77371,P 62 2 2,V Si2,V,V,1,5,4,Si2,Si,2,14,3,Hexagonal,,
180,633427,P 62 2 2,Sc Fe2,Sc,Sc,1,3,4,Fe2,Fe,2,8,4,Hexagonal,,
180,638088,P 62 2 2,V Ge2,V,V,1,5,4,Ge2,Ge,2,14,4,Hexagonal,,
180,638941,P 62 2 2,Hf Sn2,Hf,Hf,1,4,6,Sn2,Sn,2,14,5,Hexagonal,,
180,644399,P 62 2 2,Mo Si2,Mo,Mo,1,6,5,Si2,Si,2,14,3,Hexagonal,,
180,652549,P 62 2 2,W Si2,W,W,1,6,6,Si2,Si,2,14,3,Hexagonal,,
180,173662,P 64 2 2,W Al2,W,W,1,6,6,Al2,Al,2,13,3,Hexagonal,c,
181,93975,P 64 2 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Hexagonal,,
181,96025,P 64 2 2,V Si2,V,V,1,5,4,Si2,Si,2,14,3,Hexagonal,,
181,96026,P 64 2 2,Cr Si2,Cr,Cr,1,6,4,Si2,Si,2,14,3,Hexagonal,,
181,96028,P 64 2 2,Ta Si2,Ta,Ta,1,5,6,Si2,Si,2,14,3,Hexagonal,,
181,645450,P 64 2 2,Nb Si2,Nb,Nb,1,5,5,Si2,Si,2,14,3,Hexagonal,,
181,173662,P 64 2 2,W Al2,W,W,1,6,6,Al2,Al,2,13,3,Hexagonal,,
181,9481,P 62 2 2,Be F2,Be,Be,1,2,2,F2,F,2,17,2,Hexagonal,c,
181,16503,P 62 2 2,Nb Ge2,Nb,Nb,1,5,5,Ge2,Ge,2,14,4,Hexagonal,c,
