Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
36,66120,C m c 21,Ni As,Ni,Ni,1,10,4,As,As,1,15,4,Orthorhombic,,
36,68968,C m c 21,Nb S2,Nb,Nb,1,5,5,S2,S,2,16,3,Orthorhombic,,
36,68969,C m c 21,Pb S,Pb,Pb,1,14,6,S,S,1,16,3,Orthorhombic,,
36,73251,C m c 21,Mn3 As2,Mn3,Mn,3,7,4,As2,As,2,15,4,Orthorhombic,,
36,73252,C m c 21,Mn5 As4,Mn5,Mn,5,7,4,As4,As,4,15,4,Orthorhombic,,
36,83918,C m c 21,Er Ge1.835,Er,Er,1,3,6,Ge1.835,Ge,1.835,14,4,Orthorhombic,,
36,83919,C m c 21,Er Ge1.82,Er,Er,1,3,6,Ge1.82,Ge,1.82,14,4,Orthorhombic,,
36,43561,C m c 21,Ni3 Si2,Ni3,Ni,3,10,4,Si2,Si,2,14,3,Orthorhombic,,
36,43253,C m c 21,B6 H10,B6,B,6,13,2,H10,H,10,1,1,Orthorhombic,,
36,42628,C m c 21,Ir B0.9,Ir,Ir,1,9,6,B0.9,B,0.9,13,2,Orthorhombic,,
36,53244,C m c 21,Cs2 Te3,Cs2,Cs,2,1,6,Te3,Te,3,16,5,Orthorhombic,,
36,56279,C m c 21,Pd Bi,Pd,Pd,1,10,5,Bi,Bi,1,15,6,Orthorhombic,,
36,77889,C m c 21,Pd2 Sb,Pd2,Pd,2,10,5,Sb,Sb,1,15,5,Orthorhombic,,
36,53362,C m c 21,Dy Ge1.85,Dy,Dy,1,3,6,Ge1.85,Ge,1.85,14,4,Orthorhombic,,
36,58459,C m c 21,Au2 Ga,Au2,Au,2,11,6,Ga,Ga,1,13,4,Orthorhombic,,
36,37223,C m c 21,W P2,W,W,1,6,6,P2,P,2,15,3,Orthorhombic,,
36,57352,C m c 21,Ag Ca,Ag,Ag,1,11,5,Ca,Ca,1,2,4,Orthorhombic,,
36,403106,C m c 21,Al32.386 Cr8.75,Al32.386,Al,32.386,13,3,Cr8.75,Cr,8.75,6,4,Orthorhombic,,
36,412350,C m c 21,Zn171.43 Mg100.57,Zn171.43,Zn,171.43,12,4,Mg100.57,Mg,100.57,2,3,Orthorhombic,,
36,637973,C m c 21,Tb Ge1.85,Tb,Tb,1,3,6,Ge1.85,Ge,1.85,14,4,Orthorhombic,,
36,150550,C c m 21,Fe Al6,Fe,Fe,1,8,4,Al6,Al,6,13,3,Orthorhombic,,
36,162441,C m c 21,Si6 O12,Si6,Si,6,14,3,O12,O,12,16,2,Orthorhombic,,
36,188064,C m c 21,Ni P,Ni,Ni,1,10,4,P,P,1,15,3,Orthorhombic,,
36,421464,C m c 21,Sc9 Te2,Sc9,Sc,9,3,4,Te2,Te,2,16,5,Orthorhombic,,
36,240774,C c m 21,Pd32 Cd108,Pd32,Pd,32,10,5,Cd108,Cd,108,12,5,Orthorhombic,,
36,424850,C m c 21,Br Cl,Br,Br,1,17,4,Cl,Cl,1,17,3,Orthorhombic,,
36,424502,C m c 21,Cl N3,Cl,Cl,1,17,3,N3,N,3,15,2,Orthorhombic,,
36,251584,C m c 21,Ba14 Ge78,Ba14,Ba,14,2,6,Ge78,Ge,78,14,4,Orthorhombic,,
38,15567,C 2 m m,U O3,U,U,1,3,7,O3,O,3,16,2,Orthorhombic,,
38,16559,A m m 2,U3 O8,U3,U,3,3,7,O8,O,8,16,2,Orthorhombic,,
38,29332,A m m 2,U13 O34,U13,U,13,3,7,O34,O,34,16,2,Orthorhombic,,
38,60057,A m m 2,Cu64 O,Cu64,Cu,64,11,4,O,O,1,16,2,Orthorhombic,,
38,67443,C m 2 m,Nb S2,Nb,Nb,1,5,5,S2,S,2,16,3,Orthorhombic,,
38,67650,B 2 m m,Bi S,Bi,Bi,1,15,6,S,S,1,16,3,Orthorhombic,,
38,74335,C m 2 m,Nb Se2,Nb,Nb,1,5,5,Se2,Se,2,16,4,Orthorhombic,,
38,79130,C 2 m m,Ta S2,Ta,Ta,1,5,6,S2,S,2,16,3,Orthorhombic,,
38,79373,C m 2 m,Nb1.076 S2,Nb1.076,Nb,1.076,5,5,S2,S,2,16,3,Orthorhombic,,
38,43498,C 2 m m,Ta2 O5,Ta2,Ta,2,5,6,O5,O,5,16,2,Orthorhombic,,
38,411069,A m m 2,Gd8 Se15,Gd8,Gd,8,3,6,Se15,Se,15,16,4,Orthorhombic,,
