Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,
117,29094,P -4 b 2,Pb3 O4,Pb3,Pb,3,14,6,O4,O,4,16,2,Tetragonal,
117,41807,P -4 b 2,Yb S1.8,Yb,Yb,1,3,6,S1.8,S,1.8,16,3,Tetragonal,
117,641839,P -4 b 2,La S2,La,La,1,3,6,S2,S,2,16,3,Tetragonal,
117,641840,P -4 b 2,La4 S7,La4,La,4,3,6,S7,S,7,16,3,Tetragonal,
117,645857,P -4 b 2,Nd4 S7,Nd4,Nd,4,3,6,S7,S,7,16,3,Tetragonal,
117,649273,P -4 b 2,Pr4 S7,Pr4,Pr,4,3,6,S7,S,7,16,3,Tetragonal,
117,651440,P -4 b 2,Yb S2,Yb,Yb,1,3,6,S2,S,2,16,3,Tetragonal,
117,239610,P -4 b 2,Pr Se2,Pr,Pr,1,3,6,Se2,Se,2,16,4,Tetragonal,
118,23789,P -4 n 2,Mn27 Si47,Mn27,Mn,27,7,4,Si47,Si,47,14,3,Tetragonal,
118,43049,P -4 n 2,Cr11 Ge19,Cr11,Cr,11,6,4,Ge19,Ge,19,14,4,Tetragonal,
118,43050,P -4 n 2,Mo13 Ge23,Mo13,Mo,13,6,5,Ge23,Ge,23,14,4,Tetragonal,
118,43051,P -4 n 2,V17 Ge31,V17,V,17,5,4,Ge31,Ge,31,14,4,Tetragonal,
118,43280,P -4 n 2,Mn11 Si19,Mn11,Mn,11,7,4,Si19,Si,19,14,3,Tetragonal,
118,102424,P -4 n 2,Co Ga3,Co,Co,1,9,4,Ga3,Ga,3,13,4,Tetragonal,
118,102500,P -4 n 2,Co In3,Co,Co,1,9,4,In3,In,3,13,5,Tetragonal,
118,103761,P -4 n 2,Ga5 Ir3,Ga5,Ga,5,13,4,Ir3,Ir,3,9,6,Tetragonal,
118,631756,P -4 n 2,Fe Ga3,Fe,Fe,1,8,4,Ga3,Ga,3,13,4,Tetragonal,
118,635023,P -4 n 2,Ga3 Os,Ga3,Ga,3,13,4,Os,Os,1,8,6,Tetragonal,
118,51946,P -4 n 2,In3 Ir,In3,In,3,13,5,Ir,Ir,1,9,6,Tetragonal,
118,59518,P -4 n 2,In3 Ru,In3,In,3,13,5,Ru,Ru,1,8,5,Tetragonal,
119,20664,I -4 m 2,K Ga3,K,K,1,1,4,Ga3,Ga,3,13,4,Tetragonal,
119,40136,I -4 m 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,
119,40517,I -4 m 2,Si96 O192,Si96,Si,96,14,3,O192,O,192,16,2,Tetragonal,
119,93777,I -4 m 2,Re3 O10,Re3,Re,3,7,6,O10,O,10,16,2,Tetragonal,
119,102863,I -4 m 2,Cs Ga3,Cs,Cs,1,1,6,Ga3,Ga,3,13,4,Tetragonal,
119,102867,I -4 m 2,Cs In3,Cs,Cs,1,1,6,In3,In,3,13,5,Tetragonal,
119,102868,I -4 m 2,Cs2 In3,Cs2,Cs,2,1,6,In3,In,3,13,5,Tetragonal,
119,103030,I -4 m 2,Cu4 La,Cu4,Cu,4,11,4,La,La,1,3,6,Tetragonal,
119,103649,I -4 m 2,Ga3 K,Ga3,Ga,3,13,4,K,K,1,1,4,Tetragonal,
119,655691,I -4 m 2,Nb N,Nb,Nb,1,5,5,N,N,1,15,2,Tetragonal,
119,103943,I -4 m 2,Ga3 Rb,Ga3,Ga,3,13,4,Rb,Rb,1,1,5,Tetragonal,
121,16809,I -4 2 m,Fe2 B,Fe2,Fe,2,8,4,B,B,1,13,2,Tetragonal,
121,26515,I -4 2 m,V3 S,V3,V,3,5,4,S,S,1,16,3,Tetragonal,
121,30447,I -4 2 m,Co2 B,Co2,Co,2,9,4,B,B,1,13,2,Tetragonal,
121,30448,I -4 2 m,Ni2 B,Ni2,Ni,2,10,4,B,B,1,13,2,Tetragonal,
121,30789,I -4 2 m,C I4,C,C,1,14,2,I4,I,4,17,5,Tetragonal,
121,43238,I -4 2 m,Mo3 P,Mo3,Mo,3,6,5,P,P,1,15,3,Tetragonal,
121,58567,I -4 2 m,Au Pb3,Au,Au,1,11,6,Pb3,Pb,3,14,6,Tetragonal,
121,104607,I -4 2 m,Ir Zr3,Ir,Ir,1,9,6,Zr3,Zr,3,4,5,Tetragonal,
121,104682,I -4 2 m,La7 Ni16,La7,La,7,3,6,Ni16,Ni,16,10,4,Tetragonal,
